Spacecraft ID,MC Frame Count,VC Frame Count,TF Datafield Status,Version,Ap ID,Seq Number,Packet Size,Timestamp,_3V3,_3V3RF,_V5V,_V_BAT,V_MPPT,Current_3V3,Current_3V3RF,Current_V5V,Current_VBAT,Current_MPPT,Battery_Temp,Battery_Temp_2,Temp_Solar_Panel_1,Temp_Solar_Panel_2,Temp_Solar_Panel_3,Temp_Solar_Panel_4,Fault_3V3_RF_V5V,OBC_Mode,Heater_Status,Firmware_Version,Last_Reception_Time,Last_RSSI,S_F_Packet_Count,Bad_RX_Count,Last_Transmit_Time,TX_Packets,RX_Packets,Beacon_Interval,ANT_Deploy_Status,GPS_Read_Time,TOW,ECEF_X,ECEF_Y,ECEF_Z,ECEF_VX,ECEF_VY,ECEF_VZ,Seconds_From_2000,Gyro_1,Gyro_2,Gyro_3,Orbit_Propagator_Time,Dof_9_Temperature,ECI_Z_1,ECI_Z_2,ECI_Z_3,ECI_SUN_1,ECI_SUN_2,ECI_SUN_3,ADCS_mode,Reboot_Counter
-8191,0,0,24,0,7,448,-18944,144600,3.2958984,3.3117676,4.9787145,3.9648438,3.9660645,330.2002,208.12988,45.166016,169.06738,12.817383,29.88143,33.851036,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041445,1248,228,1,15,0,0,0,0,0,0,0,0,0,-1.7739326,-1.6647763,-0.09628877,0,32.581303,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144610,3.2983398,3.3166504,4.9787145,3.959961,3.9624023,344.84863,206.29883,46.99707,171.50879,13.427734,30.027914,33.851036,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041446,1249,228,1,15,0,0,0,0,0,0,0,0,0,-1.743415,-2.3819394,0.056299116,0,32.629227,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144620,3.2983398,3.3129883,4.9787145,3.9660645,3.9660645,334.47266,205.07813,43.945313,180.66406,12.817383,29.88143,33.80426,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041446,1250,228,1,15,0,0,0,0,0,0,0,0,0,-0.85077584,-0.26859713,-0.39383516,0,32.72507,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144630,3.2971191,3.314209,4.9787145,3.9624023,3.9648438,333.8623,208.12988,46.38672,165.40527,13.427734,30.081385,33.090004,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041446,1251,228,1,15,0,0,0,0,0,0,0,0,0,-4.1771917,1.2649112,-2.8733883,0,32.964687,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144640,3.293457,3.3117676,4.973826,3.9648438,3.9538574,351.5625,209.35059,46.38672,334.47266,12.817383,30.174397,33.14461,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041446,1252,228,1,15,0,0,0,0,0,0,0,0,0,-3.2540352,-1.6342587,0.14785185,0,32.86884,576706560000000000,2305945800000000000,4294967300,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144650,3.2946777,3.3166504,4.973826,3.9624023,3.9648438,334.47266,206.29883,45.776367,184.93652,14.038086,30.174397,31.932964,27.016356,32.01893,32.75,32.75,15,6,0,18,4041232,-128,0,1186,4041446,1253,228,1,15,0,0,0,0,0,0,0,0,0,-2.9183419,-2.6871152,-0.30991182,0,32.86884,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144700,3.2946777,3.314209,4.9811587,3.9648438,3.9611816,334.47266,202.63672,46.99707,168.45703,14.038086,29.981405,31.932964,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041446,1254,228,1,15,0,0,0,0,0,0,0,0,0,-1.743415,-1.3519711,-2.537695,0,32.772995,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144710,3.2983398,3.3154297,4.973826,3.963623,3.9648438,338.74512,208.74023,48.217773,187.98828,14.6484375,30.174397,31.932964,27.016356,32.01893,32.75,32.75,15,6,0,18,4041232,-128,0,1186,4041447,1255,228,1,15,0,0,0,0,0,0,0,0,0,-2.4071724,-0.3220029,-0.004736038,0,32.916763,576706560000000000,2305945800000000000,4294967300,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144720,3.2958984,3.314209,4.97627,3.963623,3.9660645,333.8623,208.74023,47.60742,162.35352,13.427734,29.88143,31.979588,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041447,1256,228,1,15,0,0,0,0,0,0,0,0,0,-0.99573433,-0.7263608,0.83449733,0,32.916763,576706560000000000,2305945800000000000,0,576932000000000000,2305945800000000000,0,0,1103
-8191,0,0,24,0,7,448,-18944,144730,3.2971191,3.314209,4.97627,3.9648438,3.9624023,344.84863,211.18164,43.945313,161.74316,12.817383,30.027914,31.886347,27.016356,32.01893,32.75,32.5,15,6,0,18,4041232,-128,0,1186,4041447,1257,228,1,15,0,0,0,0,0,0,0,0,0,-2.4071724,-1.9775815,-0.26413545,0,33.108456,576706560000000000,2305945800000000000,4294967300,576932000000000000,2305945800000000000,0,0,1103
